angle
3.155240
4.744481
1.006511
2.976662
2.004958
2.556587
2.653743
4.210769
0.947961
2.007339
1.601721
0.913771
0.576373
1.896376
0.450381
2.458288
2.634963
3.806608
1.143506
2.869048
1.941852
2.923900
0.828838
0.537316
2.989395
3.037049
2.923900
2.746413
0.306244
2.848191
3.613084
1.214189
3.442094
1.878888
1.606479
2.269949
2.656777
1.593088
3.264228
2.158840
1.195004
2.614008
2.496590
4.077127
359.298768
1.222345
2.139413
2.380683
3.165047
359.809108
2.127388
3.215346
2.971274
2.017913
2.788917
2.517315
2.260279
2.936142
2.308112
2.448359
4.334143
0.559842
2.555886
1.837325
3.819027
2.472994
3.183240
359.840263
3.232699
3.745236
5.191709
3.264618
0.179496
4.015853
3.411546
359.969328
2.989395
2.876948
1.024090
0.214999
1.929053
1.195004
358.737089
1.952127
4.412235
0.373090
1.472728
1.061480
2.322346
359.153069
2.324078
1.746618
1.699728
2.774617
2.368555
1.863691
0.322537
3.682244
2.595298
3.695151
